Axial Position x, Normalized Nozzle Radius r
-1.453,0.797254
-1.446,0.794169
-1.440,0.791085
-1.433,0.788000
-1.427,0.784915
-1.420,0.781831
-1.414,0.778746
-1.408,0.775661
-1.401,0.772577
-1.395,0.769492
-1.388,0.766407
-1.382,0.763323
-1.375,0.760238
-1.369,0.757153
-1.363,0.754068
-1.356,0.750984
-1.350,0.747899
-1.343,0.744814
-1.337,0.741730
-1.331,0.738645
-1.324,0.735560
-1.318,0.732476
-1.311,0.729391
-1.305,0.726306
-1.298,0.723222
-1.292,0.720137
-1.286,0.717052
-1.279,0.713968
-1.273,0.710883
-1.266,0.707798
-1.260,0.704714
-1.253,0.701629
-1.247,0.698544
-1.241,0.695459
-1.234,0.692375
-1.228,0.689290
-1.221,0.686205
-1.215,0.683121
-1.208,0.680036
-1.202,0.676951
-1.196,0.673867
-1.189,0.670782
-1.183,0.667697
-1.176,0.664613
-1.170,0.661528
-1.163,0.658443
-1.157,0.655359
-1.151,0.652274
-1.144,0.649189
-1.138,0.646105
-1.131,0.643020
-1.125,0.639935
-1.118,0.636850
-1.112,0.633766
-1.106,0.630681
-1.099,0.627596
-1.093,0.624512
-1.086,0.621427
-1.080,0.618342
-1.073,0.615258
-1.067,0.612173
-1.061,0.609088
-1.054,0.606004
-1.048,0.602919
-1.041,0.599834
-1.035,0.596750
-1.028,0.593665
-1.022,0.590580
-1.016,0.587495
-1.009,0.584411
-1.003,0.581326
-0.996,0.578241
-0.990,0.575157
-0.983,0.572072
-0.977,0.568987
-0.971,0.565903
-0.964,0.562818
-0.958,0.559733
-0.951,0.556649
-0.945,0.553564
-0.938,0.550479
-0.932,0.547395
-0.926,0.544310
-0.919,0.541225
-0.913,0.538141
-0.906,0.535056
-0.900,0.531971
-0.894,0.528886
-0.887,0.525802
-0.881,0.522717
-0.874,0.519632
-0.868,0.516548
-0.861,0.513463
-0.855,0.510378
-0.849,0.507294
-0.842,0.504209
-0.836,0.501124
-0.829,0.498040
-0.823,0.494955
-0.816,0.491870
-0.810,0.488786
-0.804,0.485701
-0.797,0.482616
-0.791,0.479532
-0.784,0.476447
-0.778,0.473362
-0.771,0.470277
-0.765,0.467193
-0.759,0.464108
-0.752,0.461023
-0.746,0.457939
-0.739,0.454854
-0.733,0.451769
-0.726,0.448685
-0.720,0.445600
-0.714,0.442515
-0.707,0.439431
-0.701,0.436346
-0.694,0.433261
-0.688,0.430177
-0.681,0.427092
-0.675,0.424007
-0.669,0.420923
-0.662,0.417838
-0.656,0.414753
-0.649,0.411668
-0.643,0.408584
-0.636,0.405499
-0.630,0.402414
-0.624,0.399330
-0.617,0.396245
-0.611,0.393160
-0.604,0.390076
-0.598,0.386991
-0.591,0.383906
-0.585,0.380822
-0.579,0.377737
-0.572,0.374652
-0.566,0.371568
-0.559,0.368483
-0.553,0.365398
-0.546,0.362314
-0.540,0.359229
-0.534,0.356144
-0.527,0.353059
-0.521,0.349975
-0.514,0.346890
-0.508,0.343805
-0.502,0.340721
-0.495,0.337636
-0.489,0.334551
-0.482,0.331467
-0.476,0.328382
-0.469,0.325297
-0.463,0.322213
-0.457,0.319128
-0.450,0.316043
-0.444,0.312959
-0.437,0.309874
-0.431,0.306789
-0.424,0.303705
-0.418,0.300620
-0.412,0.297535
-0.405,0.294450
-0.399,0.291366
-0.392,0.288281
-0.386,0.285196
-0.379,0.282112
-0.373,0.279027
-0.367,0.275942
-0.360,0.272858
-0.354,0.269773
-0.347,0.266688
-0.341,0.263604
-0.334,0.260519
-0.328,0.257434
-0.322,0.254350
-0.315,0.251265
-0.309,0.248180
-0.302,0.245095
-0.296,0.242011
-0.289,0.238926
-0.283,0.235841
-0.277,0.232757
-0.270,0.229672
-0.264,0.226587
-0.257,0.223503
-0.251,0.220418
-0.244,0.217333
-0.238,0.214249
-0.232,0.211164
-0.225,0.208079
-0.219,0.204995
-0.212,0.201910
-0.206,0.198825
-0.199,0.195741
-0.193,0.192656
-0.187,0.189571
-0.180,0.186486
-0.174,0.183402
-0.167,0.180317
-0.161,0.177232
-0.154,0.174148
-0.148,0.171063
-0.142,0.167978
-0.135,0.164894
-0.129,0.161809
-0.122,0.158724
-0.116,0.155640
-0.109,0.152555
-0.103,0.149470
-0.097,0.146386
-0.090,0.143301
-0.084,0.140216
-0.077,0.137132
-0.071,0.134047
-0.065,0.130962
-0.058,0.127877
-0.052,0.124793
-0.045,0.121708
-0.039,0.118623
-0.032,0.115539
-0.026,0.112454
-0.020,0.109369
-0.013,0.106285
-0.007,0.103200
-0.000,0.100115
0.006,0.105751
0.013,0.111724
0.019,0.117698
0.025,0.123672
0.032,0.129646
0.038,0.135620
0.045,0.141594
0.051,0.147568
0.058,0.153541
0.064,0.159515
0.070,0.165489
0.077,0.171463
0.083,0.177437
0.090,0.183411
0.096,0.189385
0.103,0.195358
0.109,0.201332
0.115,0.207306
0.122,0.213280
0.128,0.219254
0.135,0.225228
0.141,0.231202
0.148,0.237175
0.154,0.243149
0.160,0.249123
0.167,0.255097
0.173,0.261071
0.180,0.267045
0.186,0.273019
0.193,0.278993
0.199,0.284966
0.205,0.290940
0.212,0.296914
0.218,0.302888
0.225,0.308862
0.231,0.314836
0.238,0.320810
0.244,0.326783
0.250,0.332757
0.257,0.338731
0.263,0.344705
0.270,0.350679
0.276,0.356653
0.283,0.362627
0.289,0.368600
0.295,0.374574
0.302,0.380548
0.308,0.386522
0.315,0.392496
0.321,0.398470
0.328,0.404444
0.334,0.410417
0.340,0.416391
0.347,0.422365
0.353,0.428339
0.360,0.434313
0.366,0.440287
0.372,0.446261
