Axial Position x, Normalized Nozzle Radius r
-3.17,2.236068
-3.16,2.236068
-3.15,2.236068
-3.14,2.236068
-3.13,2.236068
-3.12,2.236068
-3.11,2.236068
-3.10,2.236068
-3.09,2.236068
-3.08,2.236068
-3.07,2.236068
-3.06,2.236068
-3.05,2.236068
-3.04,2.236068
-3.03,2.236068
-3.02,2.236068
-3.01,2.236068
-3.00,2.236068
-2.99,2.236068
-2.98,2.236068
-2.97,2.236068
-2.96,2.236068
-2.95,2.236068
-2.94,2.236068
-2.93,2.236068
-2.92,2.236068
-2.91,2.236068
-2.90,2.236068
-2.89,2.236068
-2.88,2.236068
-2.87,2.236068
-2.86,2.236068
-2.85,2.236068
-2.84,2.236068
-2.83,2.236068
-2.82,2.236068
-2.81,2.236068
-2.80,2.236068
-2.79,2.236068
-2.78,2.236068
-2.77,2.236068
-2.76,2.236068
-2.75,2.236068
-2.74,2.236068
-2.73,2.236068
-2.72,2.236068
-2.71,2.236068
-2.70,2.236068
-2.69,2.236068
-2.68,2.236068
-2.67,2.236068
-2.66,2.236068
-2.65,2.236068
-2.64,2.236068
-2.63,2.236068
-2.62,2.236068
-2.61,2.236068
-2.60,2.236068
-2.59,2.236068
-2.58,2.236068
-2.57,2.236068
-2.56,2.236068
-2.55,2.236068
-2.54,2.236068
-2.53,2.236068
-2.52,2.236068
-2.51,2.236068
-2.50,2.236068
-2.49,2.236068
-2.48,2.236068
-2.47,2.236068
-2.46,2.236068
-2.45,2.236068
-2.44,2.236068
-2.43,2.236068
-2.42,2.236068
-2.41,2.236068
-2.40,2.236068
-2.39,2.236068
-2.38,2.236068
-2.37,2.236068
-2.36,2.236068
-2.35,2.236068
-2.34,2.236068
-2.33,2.236068
-2.32,2.236068
-2.31,2.236068
-2.30,2.236068
-2.29,2.236068
-2.28,2.236068
-2.27,2.236068
-2.26,2.236068
-2.25,2.236068
-2.24,2.236068
-2.23,2.236068
-2.22,2.236068
-2.21,2.236068
-2.20,2.236068
-2.19,2.236068
-2.18,2.236068
-2.17,2.236068
-2.16,2.236068
-2.15,2.236068
-2.14,2.236068
-2.13,2.236068
-2.12,2.236068
-2.11,2.236068
-2.10,2.236068
-2.09,2.236068
-2.08,2.236068
-2.07,2.236068
-2.06,2.236068
-2.05,2.236068
-2.04,2.236068
-2.03,2.236068
-2.02,2.236068
-2.01,2.236068
-2.00,2.236068
-1.99,2.236068
-1.98,2.236068
-1.97,2.236068
-1.96,2.236068
-1.95,2.236068
-1.94,2.236068
-1.93,2.236068
-1.92,2.236068
-1.91,2.236068
-1.90,2.236068
-1.89,2.236068
-1.88,2.236068
-1.87,2.236068
-1.86,2.236068
-1.85,2.236068
-1.84,2.236068
-1.83,2.236068
-1.82,2.236068
-1.81,2.236068
-1.80,2.236068
-1.79,2.236068
-1.78,2.236068
-1.77,2.236068
-1.76,2.236068
-1.75,2.236068
-1.74,2.236068
-1.73,2.236068
-1.72,2.236068
-1.71,2.236068
-1.70,2.236068
-1.69,2.236063
-1.68,2.235840
-1.67,2.235282
-1.66,2.234388
-1.65,2.233155
-1.64,2.231579
-1.63,2.229654
-1.62,2.227373
-1.61,2.224728
-1.60,2.221709
-1.59,2.218303
-1.58,2.214497
-1.57,2.210273
-1.56,2.205613
-1.55,2.200492
-1.54,2.194885
-1.53,2.188758
-1.52,2.182072
-1.51,2.174781
-1.50,2.166828
-1.49,2.158140
-1.48,2.148628
-1.47,2.138629
-1.46,2.128629
-1.45,2.118629
-1.44,2.108629
-1.43,2.098629
-1.42,2.088629
-1.41,2.078629
-1.40,2.068629
-1.39,2.058629
-1.38,2.048629
-1.37,2.038629
-1.36,2.028629
-1.35,2.018629
-1.34,2.008629
-1.33,1.998629
-1.32,1.988629
-1.31,1.978629
-1.30,1.968629
-1.29,1.958629
-1.28,1.948629
-1.27,1.938629
-1.26,1.928629
-1.25,1.918629
-1.24,1.908629
-1.23,1.898629
-1.22,1.888629
-1.21,1.878629
-1.20,1.868629
-1.19,1.858629
-1.18,1.848629
-1.17,1.838629
-1.16,1.828629
-1.15,1.818629
-1.14,1.808629
-1.13,1.798629
-1.12,1.788629
-1.11,1.778629
-1.10,1.768629
-1.09,1.758629
-1.08,1.748629
-1.07,1.738629
-1.06,1.728629
-1.05,1.718629
-1.04,1.708629
-1.03,1.698629
-1.02,1.688629
-1.01,1.678629
-1.00,1.668629
-0.99,1.658629
-0.98,1.648629
-0.97,1.638629
-0.96,1.628629
-0.95,1.618629
-0.94,1.608629
-0.93,1.598629
-0.92,1.588629
-0.91,1.578629
-0.90,1.568629
-0.89,1.558629
-0.88,1.548629
-0.87,1.538629
-0.86,1.528629
-0.85,1.518629
-0.84,1.508629
-0.83,1.498629
-0.82,1.488629
-0.81,1.478629
-0.80,1.468629
-0.79,1.458629
-0.78,1.448629
-0.77,1.438629
-0.76,1.428629
-0.75,1.418629
-0.74,1.408629
-0.73,1.398629
-0.72,1.388629
-0.71,1.378629
-0.70,1.368629
-0.69,1.358629
-0.68,1.348629
-0.67,1.338629
-0.66,1.328629
-0.65,1.318629
-0.64,1.308629
-0.63,1.298629
-0.62,1.288629
-0.61,1.278629
-0.60,1.268629
-0.59,1.258629
-0.58,1.248629
-0.57,1.238629
-0.56,1.228686
-0.55,1.219052
-0.54,1.209746
-0.53,1.200750
-0.52,1.192053
-0.51,1.183640
-0.50,1.175500
-0.49,1.167624
-0.48,1.160000
-0.47,1.152621
-0.46,1.145477
-0.45,1.138562
-0.44,1.131868
-0.43,1.125389
-0.42,1.119118
-0.41,1.113050
-0.40,1.107180
-0.39,1.101502
-0.38,1.096011
-0.37,1.090705
-0.36,1.085577
-0.35,1.080625
-0.34,1.075845
-0.33,1.071234
-0.32,1.066788
-0.31,1.062504
-0.30,1.058380
-0.29,1.054413
-0.28,1.050600
-0.27,1.046940
-0.26,1.043429
-0.25,1.040066
-0.24,1.036849
-0.23,1.033775
-0.22,1.030845
-0.21,1.028054
-0.20,1.025403
-0.19,1.022890
-0.18,1.020513
-0.17,1.018271
-0.16,1.016163
-0.15,1.014188
-0.14,1.012345
-0.13,1.010633
-0.12,1.009051
-0.11,1.007599
-0.10,1.006275
-0.09,1.005079
-0.08,1.004010
-0.07,1.003068
-0.06,1.002253
-0.05,1.001564
-0.04,1.001001
-0.03,1.000563
-0.02,1.000250
-0.01,1.000063
0.00,1.000000
0.01,1.000036
0.02,1.000143
0.03,1.000321
0.04,1.000572
0.05,1.000893
0.06,1.001286
0.07,1.001751
0.08,1.002288
0.09,1.002896
0.10,1.003576
0.11,1.004328
0.12,1.005152
0.13,1.006049
0.14,1.007018
0.15,1.008059
0.16,1.009173
0.17,1.010360
0.18,1.011620
0.19,1.012953
0.20,1.014359
0.21,1.015840
0.22,1.017394
0.23,1.019022
0.24,1.020725
0.25,1.022502
0.26,1.024355
0.27,1.026282
0.28,1.028286
0.29,1.030365
0.30,1.032521
0.31,1.034753
0.32,1.037062
0.33,1.039449
0.34,1.041913
0.35,1.044456
0.36,1.047077
0.37,1.049778
0.38,1.052558
0.39,1.055418
0.40,1.058359
0.41,1.061381
0.42,1.064485
0.43,1.067671
0.44,1.070940
0.45,1.074293
0.46,1.077729
0.47,1.081251
0.48,1.084857
0.49,1.088550
0.50,1.092330
0.51,1.096198
0.52,1.100154
0.53,1.104153
0.54,1.108152
0.55,1.112150
0.56,1.116147
0.57,1.120143
0.58,1.124138
0.59,1.128132
0.60,1.132125
0.61,1.136117
0.62,1.140108
0.63,1.144099
0.64,1.148088
0.65,1.152077
0.66,1.156064
0.67,1.160051
0.68,1.164037
0.69,1.168021
0.70,1.172005
0.71,1.175988
0.72,1.179970
0.73,1.183951
0.74,1.187931
0.75,1.191910
0.76,1.195888
0.77,1.199865
0.78,1.203841
0.79,1.207816
0.80,1.211790
0.81,1.215763
0.82,1.219735
0.83,1.223706
0.84,1.227677
0.85,1.231646
0.86,1.235614
0.87,1.239581
0.88,1.243547
0.89,1.247512
0.90,1.251476
0.91,1.255440
0.92,1.259402
0.93,1.263363
0.94,1.267323
0.95,1.271282
0.96,1.275240
0.97,1.279197
0.98,1.283153
0.99,1.287108
1.00,1.291062
1.01,1.295014
1.02,1.298966
1.03,1.302917
1.04,1.306866
1.05,1.310815
1.06,1.314763
1.07,1.318709
1.08,1.322655
1.09,1.326599
1.10,1.330542
1.11,1.334484
1.12,1.338426
1.13,1.342366
1.14,1.346305
1.15,1.350242
1.16,1.354179
1.17,1.358115
1.18,1.362050
1.19,1.365983
1.20,1.369915
1.21,1.373847
1.22,1.377777
1.23,1.381706
1.24,1.385634
1.25,1.389561
1.26,1.393487
1.27,1.397411
1.28,1.401335
1.29,1.405257
1.30,1.409178
1.31,1.413098
1.32,1.417017
1.33,1.420935
1.34,1.424852
1.35,1.428767
1.36,1.432682
1.37,1.436595
1.38,1.440507
1.39,1.444418
1.40,1.448328
1.41,1.452236
1.42,1.456144
1.43,1.460050
1.44,1.463955
1.45,1.467859
1.46,1.471762
1.47,1.475663
1.48,1.479564
1.49,1.483463
1.50,1.487361
1.51,1.491258
1.52,1.495153
1.53,1.499048
1.54,1.502941
1.55,1.506833
1.56,1.510724
1.57,1.514613
1.58,1.518502
1.59,1.522389
1.60,1.526275
1.61,1.530159
1.62,1.534043
1.63,1.537925
1.64,1.541806
1.65,1.545686
1.66,1.549564
1.67,1.553442
1.68,1.557318
1.69,1.561192
1.70,1.565066
1.71,1.568938
1.72,1.572809
1.73,1.576679
1.74,1.580547
1.75,1.584415
1.76,1.588281
1.77,1.592145
1.78,1.596009
1.79,1.599871
1.80,1.603732
1.81,1.607591
1.82,1.611450
1.83,1.615307
1.84,1.619162
1.85,1.623017
1.86,1.626870
1.87,1.630722
1.88,1.634572
1.89,1.638421
1.90,1.642269
1.91,1.646116
1.92,1.649961
1.93,1.653805
1.94,1.657648
1.95,1.661489
1.96,1.665329
1.97,1.669167
1.98,1.673005
1.99,1.676841
2.00,1.680675
2.01,1.684509
2.02,1.688340
2.03,1.692171
2.04,1.696000
2.05,1.699828
2.06,1.703655
2.07,1.707480
2.08,1.711304
2.09,1.715126
2.10,1.718947
2.11,1.722767
2.12,1.726585
2.13,1.730402
2.14,1.734217
2.15,1.738031
2.16,1.741844
2.17,1.745656
2.18,1.749465
2.19,1.753274
2.20,1.757081
2.21,1.760887
2.22,1.764691
2.23,1.768494
2.24,1.772296
2.25,1.776096
2.26,1.779895
2.27,1.783692
2.28,1.787488
2.29,1.791282
2.30,1.795075
2.31,1.798867
2.32,1.802657
2.33,1.806445
2.34,1.810233
2.35,1.814018
2.36,1.817803
2.37,1.821586
2.38,1.825367
2.39,1.829147
2.40,1.832926
2.41,1.836703
2.42,1.840478
2.43,1.844252
2.44,1.848025
2.45,1.851796
2.46,1.855566
2.47,1.859334
2.48,1.863101
2.49,1.866866
2.50,1.870630
2.51,1.874392
2.52,1.878153
2.53,1.881912
2.54,1.885670
2.55,1.889426
2.56,1.893181
2.57,1.896934
2.58,1.900685
2.59,1.904436
2.60,1.908184
2.61,1.911931
2.62,1.915677
2.63,1.919421
2.64,1.923164
2.65,1.926905
2.66,1.930644
2.67,1.934382
2.68,1.938118
2.69,1.941853
2.70,1.945587
2.71,1.949318
2.72,1.953048
2.73,1.956777
2.74,1.960504
2.75,1.964230
2.76,1.967953
2.77,1.971676
2.78,1.975397
2.79,1.979116
2.80,1.982833
2.81,1.986549
2.82,1.990264
2.83,1.993977
2.84,1.997688
2.85,2.001398
2.86,2.005106
2.87,2.008812
2.88,2.012517
2.89,2.016220
2.90,2.019922
2.91,2.023622
2.92,2.027320
2.93,2.031017
2.94,2.034712
2.95,2.038406
2.96,2.042098
2.97,2.045788
2.98,2.049477
2.99,2.053164
3.00,2.056849
3.01,2.060533
3.02,2.064215
3.03,2.067895
3.04,2.071574
3.05,2.075251
3.06,2.078926
3.07,2.082600
3.08,2.086272
3.09,2.089943
3.10,2.093612
3.11,2.097279
3.12,2.100944
3.13,2.104608
3.14,2.108270
3.15,2.111930
3.16,2.115589
3.17,2.119246
3.18,2.122901
3.19,2.126555
3.20,2.130207
3.21,2.133857
3.22,2.137505
3.23,2.141152
3.24,2.144797
3.25,2.148441
3.26,2.152082
3.27,2.155722
3.28,2.159360
3.29,2.162997
3.30,2.166632
3.31,2.170265
3.32,2.173896
3.33,2.177525
3.34,2.181153
3.35,2.184779
3.36,2.188404
3.37,2.192026
3.38,2.195647
3.39,2.199266
3.40,2.202883
3.41,2.206499
3.42,2.210112
3.43,2.213724
3.44,2.217334
3.45,2.220943
3.46,2.224549
3.47,2.228154
3.48,2.231757
3.49,2.235359
3.50,2.238958
3.51,2.242556
3.52,2.246152
3.53,2.249746
3.54,2.253338
3.55,2.256929
3.56,2.260517
